id,name,mood,mode,primary,on_primary,accent,on_accent,background,foreground,card,card_foreground,muted,muted_foreground,border,destructive,on_destructive,notes
neutral-light,Neutral Light,"neutral,premium,minimal,restrained,clean,professional",light,#18181B,#FFFFFF,#2563EB,#FFFFFF,#FAFAF9,#18181B,#FFFFFF,#18181B,#F4F4F5,#52525B,#E4E4E7,#DC2626,#FFFFFF,Off-white base avoids the cheap look of pure white
ink-warm,Warm Ink,"warm,editorial,serif,longform,calm,literary",light,#1C1917,#FFFFFF,#B45309,#FFFFFF,#FAF9F7,#1C1917,#FFFFFF,#1C1917,#F5F5F4,#57534E,#E7E5E4,#B91C1C,#FFFFFF,Warm neutrals suit serif editorial layouts
slate-pro,Slate Professional,"corporate,trust,fintech,enterprise,stable,professional",light,#1E293B,#FFFFFF,#1D4ED8,#FFFFFF,#F8FAFC,#0F172A,#FFFFFF,#0F172A,#F1F5F9,#475569,#E2E8F0,#DC2626,#FFFFFF,Cool neutrals read as trustworthy and institutional
midnight-dev,Midnight Developer,"dark,technical,developer,terminal,engineering,precise",dark,#E6EDF3,#0B0F14,#60A5FA,#0B0F14,#0B0F14,#E6EDF3,#121820,#E6EDF3,#1B222B,#9FB0C0,#263140,#F87171,#0B0F14,Near-black avoids halation that pure #000 causes; accent is lightened so dark text on it clears AA
carbon-dark,Carbon Dark,"dark,neutral,premium,understated,modern",dark,#F5F5F5,#141414,#A78BFA,#141414,#141414,#F5F5F5,#1C1C1C,#F5F5F5,#242424,#A8A8A8,#333333,#F87171,#141414,Neutral dark for premium products without a color story
forest-calm,Forest Calm,"wellness,health,natural,calm,organic,growth",light,#14532D,#FFFFFF,#047857,#FFFFFF,#F7FAF8,#14532D,#FFFFFF,#14532D,#ECF3EF,#3F6152,#D7E3DC,#B91C1C,#FFFFFF,Green conveys health without reading clinical
clinical-blue,Clinical Blue,"healthcare,medical,clean,trustworthy,calm,sterile",light,#0E4C6B,#FFFFFF,#0369A1,#FFFFFF,#F7FBFD,#0B3A52,#FFFFFF,#0B3A52,#EDF4F8,#3C5C6E,#D6E4EC,#B91C1C,#FFFFFF,Calm blues reduce anxiety in health contexts
amber-craft,Amber Craft,"warm,artisan,craft,food,hospitality,inviting",light,#78350F,#FFFFFF,#D97706,#1C1917,#FFFCF5,#3B2A16,#FFFFFF,#3B2A16,#FDF5E7,#6B5433,#EADFC8,#B91C1C,#FFFFFF,Amber needs DARK text on it - never white
violet-creative,Violet Creative,"creative,bold,agency,expressive,modern,confident",light,#4C1D95,#FFFFFF,#6D28D9,#FFFFFF,#FBFAFF,#2E1065,#FFFFFF,#2E1065,#F3F0FB,#524081,#E4DEF5,#BE123C,#FFFFFF,Violet signals creativity without novelty
rose-consumer,Rose Consumer,"consumer,friendly,lifestyle,retail,approachable,warm",light,#9F1239,#FFFFFF,#BE123C,#FFFFFF,#FFFAFB,#4C0519,#FFFFFF,#4C0519,#FDF0F3,#7A2340,#F2DDE3,#B91C1C,#FFFFFF,Warm rose for lifestyle and consumer retail
teal-product,Teal Product,"saas,product,modern,fresh,balanced,tech",light,#115E59,#FFFFFF,#0F766E,#FFFFFF,#F7FCFB,#134E4A,#FFFFFF,#134E4A,#ECF6F4,#3A6660,#D5E7E3,#B91C1C,#FFFFFF,Teal differentiates from the default SaaS blue
mono-brutal,Mono Brutal,"brutalist,raw,high-contrast,bold,punk,statement",light,#000000,#FFFFFF,#FACC15,#000000,#FFFFFF,#000000,#FFFFFF,#000000,#F5F5F5,#404040,#000000,#DC2626,#FFFFFF,Deliberate maximum contrast - yellow accent takes black text
neon-retro,Neon Retro,"retro,synthwave,neon,gaming,night,vivid",dark,#F0ABFC,#1A0B2E,#22D3EE,#0B1020,#140A24,#F5E9FF,#1D1033,#F5E9FF,#26173F,#C4A9E0,#3A2757,#FB7185,#1A0B2E,Glow is decorative only - contrast must come from the color itself
contrast-max,Maximum Contrast,"accessible,aaa,high contrast,inclusive,low vision,government",light,#000000,#FFFFFF,#0B4FA8,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#000000,#EFEFEF,#333333,#000000,#A80000,#FFFFFF,Targets AAA (7:1) body text for public-sector and low-vision users
