id,product,keywords,pattern,section_order,style_priority,palette_priority,font_priority,key_effects,anti_patterns,severity
saas-marketing,SaaS Marketing Site,"saas,marketing,landing,startup,b2b,software,product page",Hero + Social Proof + Features + Pricing + CTA,"Hero,Logos,Problem,Features,How it works,Pricing,FAQ,CTA","premium-minimal,bento-grid,flat-modern","neutral-light,teal-product,slate-pro","satoshi-general,inter-jetbrains,outfit-dmsans","subtle hover 200ms,scroll-stagger on features,single accent CTA","carousel heroes,autoplaying video with audio,more than one primary CTA,fake urgency timers",HIGH
developer-tool,Developer Tool,"developer,devtool,cli,api,sdk,infrastructure,open source",Hero + Code Sample + Features + Docs CTA,"Hero,Install snippet,Code demo,Features,Benchmarks,Docs CTA","dark-technical,swiss,flat-modern","midnight-dev,carbon-dark,slate-pro","space-ibmplex,inter-jetbrains,archivo-roboto-mono","monospace accents,copy-to-clipboard,syntax highlighting,terminal reveal","marketing fluff above the code,stock photography of people,hiding the install command",HIGH
analytics-dashboard,Analytics Dashboard,"dashboard,analytics,metrics,charts,reporting,bi,data",Sidebar + KPI row + Chart grid,"Nav,KPI tiles,Primary chart,Breakdown table,Filters","data-dense,swiss,flat-modern","slate-pro,midnight-dev,neutral-light","inter-jetbrains,archivo-roboto-mono","tabular numerals,sticky headers,sparklines,zebra rows","decorative animation,color-only encoding,3D charts,pie charts with many slices",HIGH
admin-panel,Admin Panel,"admin,crud,internal,back office,management,console",Sidebar + Table + Detail drawer,"Nav,Filters,Data table,Bulk actions,Detail panel","data-dense,flat-modern,swiss","slate-pro,neutral-light,carbon-dark","inter-jetbrains,archivo-roboto-mono","inline edit,optimistic updates,keyboard shortcuts,dense spacing","heavy motion,oversized hero,marketing copy,low-density layouts that force scrolling",MEDIUM
ecommerce,E-commerce,"ecommerce,shop,store,retail,product,cart,checkout",Grid + Product detail + Checkout,"Hero,Categories,Product grid,Trust signals,Cart,Checkout","flat-modern,bento-grid,premium-minimal","rose-consumer,neutral-light,amber-craft","outfit-dmsans,jakarta-figtree,inter-jetbrains","hover product preview,sticky add-to-cart,fast image loading","hidden shipping cost,forced account creation,carousel-only product images,tiny tap targets",HIGH
portfolio,Portfolio,"portfolio,personal,showcase,designer,creative,resume",Hero + Selected work + About + Contact,"Hero,Selected work,Case study,About,Contact","premium-minimal,editorial,bento-grid","neutral-light,carbon-dark,ink-warm","satoshi-general,instrument-newsreader,manrope-solo","staggered work reveal,cursor affordance,image hover scale","autoplay audio,slow intro animation blocking content,unlabeled work thumbnails",MEDIUM
agency,Agency / Studio,"agency,studio,creative,branding,design firm,consultancy",Statement hero + Work + Services + Contact,"Statement hero,Work,Services,Process,Team,Contact","editorial,premium-minimal,brutalism","violet-creative,neutral-light,mono-brutal","clash-switzer,satoshi-general,instrument-newsreader","large type reveal,scroll-driven sequence,bold transitions","generic stock imagery,tiny body text under a huge hero,motion with no reduced-motion path",MEDIUM
blog-editorial,Blog / Publication,"blog,article,editorial,magazine,news,longform,content",Article-first with strong typography,"Masthead,Featured,Article list,Article,Related,Newsletter","editorial,swiss,premium-minimal","ink-warm,neutral-light,contrast-max","playfair-lora,sourceserif-publicsans,instrument-newsreader","drop caps,pull quotes,reading progress,generous measure","justified text,measure over 80ch,interstitial popups,motion during reading",MEDIUM
fintech,Fintech / Banking,"fintech,bank,payments,finance,investing,money,trading",Trust hero + Security + Product + Compliance,"Hero,Trust signals,How it works,Security,Pricing,Compliance","premium-minimal,swiss,data-dense","slate-pro,neutral-light,teal-product","inter-jetbrains,sourceserif-publicsans","precise numerals,restrained motion,clear state feedback","playful illustration for money movement,hidden fees,ambiguous confirmation states,color-only gain/loss",HIGH
healthcare,Healthcare / Medical,"health,medical,clinic,patient,care,doctor,therapy",Calm hero + Services + Trust + Booking,"Hero,Services,Practitioners,Trust,FAQ,Booking","high-contrast-a11y,soft-organic,flat-modern","clinical-blue,forest-calm,contrast-max","sourceserif-publicsans,jakarta-figtree","calm transitions,large targets,clear hierarchy","dark patterns in booking,alarming reds,low-contrast pastels,jargon without plain language",HIGH
