id,type,action,detect,rationale,replacement
secret-api-key,API key / access token,BLOCK,pattern,"A live credential must never be persisted. Record WHERE it comes from (env var, vault path), never the value.",[SECRET-BLOCKED]
private-key,Private key material,BLOCK,pattern,"PEM/SSH private keys are the crown jewels; persisting one is an incident in itself.",[PRIVATE-KEY-BLOCKED]
credential-in-url,Credential embedded in a URL,BLOCK,pattern,"user:pass@host connection strings leak a working credential in one line.",[CREDENTIALED-URL-BLOCKED]
session-token,Session / bearer token,BLOCK,pattern,"Long-lived session tokens are replayable; a token in memory outlives the run that found it.",[SESSION-TOKEN-BLOCKED]
national-id,National ID / SSN,BLOCK,pattern,"Directly identifying and legally sensitive; there is no review reason to retain it.",[NATIONAL-ID-BLOCKED]
payment-card,Payment card number,BLOCK,pattern,"PCI scope. Never store a PAN, even partially, in review artefacts.",[CARD-BLOCKED]
customer-record,Customer / end-user record,BLOCK,judgment,"Real user rows pulled from a database belong in the database, not in a report. Describe the shape, not the row.",[CUSTOMER-DATA-BLOCKED]
home-address,Home / street address,REDACT,judgment,"A person's residence. The finding is 'an address is exposed here', which needs no address to be understood.",[ADDRESS-REDACTED]
phone-number,Phone number,REDACT,pattern,"Personal contact detail; the location of the leak is the finding, not the digits.",[PHONE-REDACTED]
email-personal,Personal email address,REDACT,pattern,"Personal contact detail. A documented public support address is PASS - use judgment.",[EMAIL-REDACTED]
date-of-birth,Date of birth,REDACT,judgment,"Combined with a name it is strongly identifying and useful for account recovery attacks.",[DOB-REDACTED]
person-name-private,Private individual's name,REDACT,judgment,"Names of non-public individuals (users, patients, customers). Public maintainers in git history are PASS.",[NAME-REDACTED]
precise-geolocation,Precise geolocation,REDACT,judgment,"Lat/long or GPS traces locate a person; the class of exposure is the finding.",[GEO-REDACTED]
biometric-health,Biometric or health data,REDACT,judgment,"Special-category data under GDPR/HIPAA; never copy the values into an artefact.",[HEALTH-REDACTED]
internal-host-ip,Internal hostname / private IP,HASH,pattern,"Needed to correlate the same host across runs, but publishing internal topology aids an attacker. Hash so it stays comparable without being readable.",[HOST-<hash>]
public-contact,Documented public contact,PASS,judgment,"A published support address or company phone is already public; redacting it destroys useful context.",
public-repo-url,Public repository / docs URL,PASS,pattern,"Public by definition and load-bearing for a finding's reproducibility.",
file-path-in-repo,Source path inside the repo,PASS,pattern,"file:line is the whole point of a finding. Repo-relative paths are not PII.",
