id,name,provider,heading,body,mono,mood,best_for,import_url,css_stack
inter-jetbrains,Inter + JetBrains Mono,google,Inter,Inter,JetBrains Mono,"neutral,modern,versatile,clean,technical,reliable","SaaS,dashboards,developer tools,general product",https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap,"'Inter', ui-sans-serif, system-ui, sans-serif"
satoshi-general,Satoshi + General Sans,fontshare,Satoshi,General Sans,,"premium,modern,geometric,sophisticated,confident","premium brands,agencies,SaaS,portfolios","https://api.fontshare.com/v2/css?f[]=satoshi@400,500,700&f[]=general-sans@400,500&display=swap","'Satoshi', ui-sans-serif, system-ui, sans-serif"
playfair-lora,Playfair Display + Lora,google,Playfair Display,Lora,,"editorial,elegant,literary,classic,refined","blogs,magazines,long-form,luxury brands",https://fonts.googleapis.com/css2?family=Playfair+Display:wght@500;600;700&family=Lora:wght@400;500&display=swap,"'Playfair Display', ui-serif, Georgia, serif"
space-ibmplex,Space Grotesk + IBM Plex Sans,google,Space Grotesk,IBM Plex Sans,IBM Plex Mono,"technical,engineered,precise,developer,modern","developer tools,infra,API products,technical docs",https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@500;700&family=IBM+Plex+Sans:wght@400;500&family=IBM+Plex+Mono:wght@400&display=swap,"'Space Grotesk', ui-sans-serif, system-ui, sans-serif"
fraunces-worksans,Fraunces + Work Sans,google,Fraunces,Work Sans,,"warm,characterful,craft,organic,friendly","food,craft brands,wellness,lifestyle,non-profit",https://fonts.googleapis.com/css2?family=Fraunces:wght@500;600;700&family=Work+Sans:wght@400;500&display=swap,"'Fraunces', ui-serif, Georgia, serif"
sourceserif-publicsans,Source Serif 4 + Public Sans,google,Source Serif 4,Public Sans,,"institutional,trustworthy,readable,civic,serious","government,education,healthcare,public services",https://fonts.googleapis.com/css2?family=Source+Serif+4:wght@500;600&family=Public+Sans:wght@400;500;600&display=swap,"'Source Serif 4', ui-serif, Georgia, serif"
outfit-dmsans,Outfit + DM Sans,google,Outfit,DM Sans,,"geometric,friendly,contemporary,approachable,clean","startups,consumer apps,marketing sites,MVPs",https://fonts.googleapis.com/css2?family=Outfit:wght@500;600;700&family=DM+Sans:wght@400;500&display=swap,"'Outfit', ui-sans-serif, system-ui, sans-serif"
clash-switzer,Clash Display + Switzer,fontshare,Clash Display,Switzer,,"bold,statement,expressive,confident,editorial","launches,creative agencies,events,bold brands","https://api.fontshare.com/v2/css?f[]=clash-display@500,600,700&f[]=switzer@400,500&display=swap","'Clash Display', ui-sans-serif, system-ui, sans-serif"
manrope-solo,Manrope,google,Manrope,Manrope,,"minimal,rounded,quiet,modern,balanced","minimal marketing,portfolios,product pages",https://fonts.googleapis.com/css2?family=Manrope:wght@400;500;600;800&display=swap,"'Manrope', ui-sans-serif, system-ui, sans-serif"
instrument-newsreader,Instrument Serif + Newsreader,google,Instrument Serif,Newsreader,,"editorial,dramatic,high-contrast,magazine,expressive","editorial hero pages,culture,fashion,storytelling",https://fonts.googleapis.com/css2?family=Instrument+Serif:wght@400&family=Newsreader:wght@400;500&display=swap,"'Instrument Serif', ui-serif, Georgia, serif"
archivo-roboto-mono,Archivo + Roboto Mono,google,Archivo,Archivo,Roboto Mono,"grotesque,systematic,swiss,rational,neutral","design systems,documentation,corporate,data",https://fonts.googleapis.com/css2?family=Archivo:wght@400;500;600;700&family=Roboto+Mono:wght@400&display=swap,"'Archivo', ui-sans-serif, system-ui, sans-serif"
jakarta-figtree,Plus Jakarta Sans + Figtree,google,Plus Jakarta Sans,Figtree,,"friendly,soft,humanist,warm,accessible","wellness,education,community,family products",https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@500;600;700&family=Figtree:wght@400;500&display=swap,"'Plus Jakarta Sans', ui-sans-serif, system-ui, sans-serif"
system-native,System Native,system,system-ui,system-ui,ui-monospace,"fast,native,zero-cost,pragmatic,neutral","MVPs,internal tools,performance-critical,offline",,"ui-sans-serif, system-ui, -apple-system, 'Segoe UI', Roboto, sans-serif"
